"Name","FileNames","MinVolume","MaxVolume","MinPitch","MaxPitch","Priority","MaximumByType","MaxRepeatMs","Loop","PlayVariationsInSequence","PlayVariationsInSequenceManualReset","StartDelayMinMs","StartDelayMaxMs","PlayOnlyWhenInView","MaxVolumeScaleLimit","NoSoundScaleLimit","PadEmpyToEndMs"
"Utilshotgun","sfx/bigshotgun01.ogg",65,70,97,103,1,8,,,,,,,,,,
"Utilshotgun_Vo","sfx/shelly_ulti_01.ogg",30,40,98,102,1,1,,,,,,,,,,
,"sfx/shelly_ulti_02.ogg",30,40,98,102,1,1,,,,,,,,,,
,"sfx/shelly_ulti_03.ogg",30,40,98,102,1,1,,,,,,,,,,
,"sfx/shelly_ulti_04.ogg",30,40,98,102,1,1,,,,,,,,,,
"ShellyTakedamge_Vo","sfx/shelly_hurt_01.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/shelly_hurt_02.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/shelly_hurt_03.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/shelly_hurt_04.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/shelly_hurt_05.ogg",45,50,98,102,1,1,3000,,,,,,,,,
"Shelly_Die","sfx/shelly_die_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/shelly_die_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/shelly_die_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/shelly_die_04.ogg",45,50,98,102,1,1,,,,,,,,,,
"Shelly_Kill","sfx/shelly_kill_01.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/shelly_kill_02.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/shelly_kill_03.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/shelly_kill_04.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/shelly_kill_05.ogg",45,50,98,102,1,1,15000,,,,,,,,,
"Shelly_Lead","sfx/shelly_lead_01.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/shelly_lead_02.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/shelly_lead_03.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/shelly_lead_04.ogg",45,50,98,102,1,1,20000,,,,,,,,,
"Shelly_Start","sfx/shelly_start_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/shelly_start_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/shelly_start_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/shelly_start_04.ogg",45,50,98,102,1,1,,,,,,,,,,
"Jess_ulti","sfx/jess_ulti_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_ulti_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_ulti_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_ulti_04.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_ulti_05.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_ulti_06.ogg",45,50,98,102,1,1,,,,,,,,,,
"Bull_takedamage_vo","sfx/bull_hurt_vo_01.ogg",40,50,98,102,1,1,3000,,,,,,,,,
,"sfx/bull_hurt_vo_02.ogg",40,50,98,102,1,1,3000,,,,,,,,,
,"sfx/bull_hurt_vo_03.ogg",40,50,98,102,1,1,3000,,,,,,,,,
,"sfx/bull_hurt_vo_04.ogg",40,50,98,102,1,1,3000,,,,,,,,,
,"sfx/bull_hurt_vo_05.ogg",40,50,98,102,1,1,3000,,,,,,,,,
"Bull_die","sfx/bull_die_vo_01.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_die_vo_02.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_die_vo_03.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_die_vo_04.ogg",40,50,98,102,1,1,,,,,,,,,,
"Bull_kill","sfx/bull_kill_vo_01.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/bull_kill_vo_02.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/bull_kill_vo_03.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/bull_kill_vo_04.ogg",40,50,98,102,1,1,15000,,,,,,,,,
"Bull_lead","sfx/bull_lead_vo_01.ogg",40,50,98,102,1,1,20000,,,,,,,,,
,"sfx/bull_lead_vo_02.ogg",40,50,98,102,1,1,20000,,,,,,,,,
,"sfx/bull_lead_vo_03.ogg",40,50,98,102,1,1,20000,,,,,,,,,
,"sfx/bull_lead_vo_04.ogg",40,50,98,102,1,1,20000,,,,,,,,,
"Bull_start","sfx/bull_start_vo_01.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_start_vo_02.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_start_vo_03.ogg",40,50,98,102,1,1,,,,,,,,,,
"Bull_ulti","sfx/bull_ulti_vo_01.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_ulti_vo_02.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_ulti_vo_03.ogg",40,50,98,102,1,1,,,,,,,,,,
,"sfx/bull_ulti_vo_04.ogg",40,50,98,102,1,1,,,,,,,,,,
"Brock_start_vo","sfx/brock_start_vo_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_start_vo_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_start_vo_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_start_vo_04.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_start_vo_05.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_start_vo_06.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_start_vo_07.ogg",45,50,98,102,1,1,,,,,,,,,,
"Brock_die_vo","sfx/brock_death_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_death_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_death_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_death_04.ogg",45,50,98,102,1,1,,,,,,,,,,
"Brock_hurt_vo","sfx/brock_hurt_01.ogg",45,50,98,102,1,1,5000,,,,,,,,,
,"sfx/brock_hurt_02.ogg",45,50,98,102,1,1,5000,,,,,,,,,
,"sfx/brock_hurt_03.ogg",45,50,98,102,1,1,5000,,,,,,,,,
,"sfx/brock_hurt_04.ogg",45,50,98,102,1,1,5000,,,,,,,,,
,"sfx/brock_hurt_05.ogg",45,50,98,102,1,1,5000,,,,,,,,,
"Brock_kill_vo","sfx/brock_kill_vo_01.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/brock_kill_vo_02.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/brock_kill_vo_03.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/brock_kill_vo_04.ogg",45,50,98,102,1,1,15000,,,,,,,,,
"Brock_lead_vo","sfx/brock_lead_vo_01.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/brock_lead_vo_02.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/brock_lead_vo_03.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/brock_lead_vo_04.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/brock_lead_vo_05.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/brock_lead_vo_06.ogg",45,50,98,102,1,1,20000,,,,,,,,,
"Brock_ulti_vo","sfx/brock_ulti_vo_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_ulti_vo_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_ulti_vo_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_ulti_vo_04.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/brock_ulti_vo_05.ogg",45,50,98,102,1,1,,,,,,,,,,
"Jess_takedamage","sfx/jess_hurt_01.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/jess_hurt_02.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/jess_hurt_03.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/jess_hurt_04.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/jess_hurt_05.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/jess_hurt_06.ogg",45,50,98,102,1,1,3000,,,,,,,,,
"Jess_die","sfx/jess_die_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_die_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_die_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_die_04.ogg",45,50,98,102,1,1,,,,,,,,,,
"Jess_kill","sfx/jess_kill_01.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/jess_kill_02.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/jess_kill_03.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/jess_kill_04.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/jess_kill_05.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/jess_kill_06.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/jess_kill_07.ogg",45,50,98,102,1,1,15000,,,,,,,,,
"Jess_lead","sfx/jess_lead_01.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/jess_lead_02.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/jess_lead_03.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/jess_lead_04.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/jess_lead_05.ogg",45,50,98,102,1,1,20000,,,,,,,,,
"Jess_start","sfx/jess_start_vo_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_start_vo_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_start_vo_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_start_vo_04.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/jess_start_vo_05.ogg",45,50,98,102,1,1,,,,,,,,,,
"Hotshot_Takedamge_Vo","sfx/hotshot_hurt_01.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/hotshot_hurt_02.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/hotshot_hurt_03.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/hotshot_hurt_04.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/hotshot_hurt_05.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/hotshot_hurt_06.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/hotshot_hurt_07.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/hotshot_hurt_08.ogg",45,50,98,102,1,1,3000,,,,,,,,,
"Hotshot_Die","sfx/hotshot_die_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/hotshot_die_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/hotshot_die_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/hotshot_die_04.ogg",45,50,98,102,1,1,,,,,,,,,,
"Hotshot_Kill","sfx/hotshot_kill_01.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/hotshot_kill_02.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/hotshot_kill_03.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/hotshot_kill_04.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/hotshot_kill_05.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/hotshot_kill_06.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/hotshot_kill_07.ogg",45,50,98,102,1,1,15000,,,,,,,,,
"Hotshot_Lead","sfx/hotshot_lead_01.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/hotshot_lead_02.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/hotshot_lead_03.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/hotshot_lead_04.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/hotshot_lead_05.ogg",45,50,98,102,1,1,20000,,,,,,,,,
"Hotshot_Start","sfx/hotshot_start_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/hotshot_start_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/hotshot_start_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/hotshot_start_04.ogg",45,50,98,102,1,1,,,,,,,,,,
"Hotshot_Ulti","sfx/hotshot_ulti_01.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/hotshot_ulti_02.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/hotshot_ulti_03.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/hotshot_ulti_04.ogg",45,50,98,102,1,1,10000,,,,,,,,,
"Piper_Takedamage","sfx/piper_hurt_01.ogg",35,45,98,102,1,1,3000,,,,,,,,,
,"sfx/piper_hurt_02.ogg",35,45,98,102,1,1,3000,,,,,,,,,
,"sfx/piper_hurt_03.ogg",35,45,98,102,1,1,3000,,,,,,,,,
,"sfx/piper_hurt_04.ogg",35,45,98,102,1,1,3000,,,,,,,,,
,"sfx/piper_hurt_05.ogg",35,45,98,102,1,1,3000,,,,,,,,,
,"sfx/piper_hurt_06.ogg",35,45,98,102,1,1,3000,,,,,,,,,
"Piper_Die","sfx/piper_die_01.ogg",35,45,98,102,1,1,,,,,,,,,,
,"sfx/piper_die_02.ogg",35,45,98,102,1,1,,,,,,,,,,
,"sfx/piper_die_03.ogg",35,45,98,102,1,1,,,,,,,,,,
"Piper_Kill","sfx/piper_kill_01.ogg",35,45,98,102,1,1,15000,,,,,,,,,
,"sfx/piper_kill_02.ogg",35,45,98,102,1,1,15000,,,,,,,,,
,"sfx/piper_kill_03.ogg",35,45,98,102,1,1,15000,,,,,,,,,
,"sfx/piper_kill_04.ogg",35,45,98,102,1,1,15000,,,,,,,,,
"Piper_Lead","sfx/piper_lead_01.ogg",35,45,98,102,1,1,20000,,,,,,,,,
,"sfx/piper_lead_02.ogg",35,45,98,102,1,1,20000,,,,,,,,,
,"sfx/piper_lead_03.ogg",35,45,98,102,1,1,20000,,,,,,,,,
"Piper_Start","sfx/piper_start_01.ogg",35,45,98,102,1,1,,,,,,,,,,
,"sfx/piper_start_02.ogg",35,45,98,102,1,1,,,,,,,,,,
,"sfx/piper_start_03.ogg",35,45,98,102,1,1,,,,,,,,,,
,"sfx/piper_start_04.ogg",35,45,98,102,1,1,,,,,,,,,,
"Piper_Ulti","sfx/piper_ulti_01.ogg",50,60,98,102,1,1,10000,,,,,,,,,
,"sfx/piper_ulti_02.ogg",50,60,98,102,1,1,10000,,,,,,,,,
"Barley_Hurt","sfx/barley_hurt_01.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/barley_hurt_02.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/barley_hurt_03.ogg",45,50,98,102,1,1,3000,,,,,,,,,
,"sfx/barley_hurt_04.ogg",45,50,98,102,1,1,3000,,,,,,,,,
"Barley_Die","sfx/barley_die_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/barley_die_02.ogg",45,50,98,102,1,1,,,,,,,,,,
"Barley_Kill","sfx/barley_kill_01.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/barley_kill_02.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/barley_kill_03.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/barley_kill_04.ogg",45,50,98,102,1,1,15000,,,,,,,,,
"Barley_Lead","sfx/barley_lead_01.ogg",45,50,98,102,1,1,20000,,,,,,,,,
"Barley_Start","sfx/barley_start_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/barley_start_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/barley_start_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/barley_start_04.ogg",45,50,98,102,1,1,,,,,,,,,,
"Barley_Ulti","sfx/barley_ulti_01.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/barley_ulti_02.ogg",45,50,98,102,1,1,10000,,,,,,,,,
"Barley_throw","sfx/barley_throw_01.ogg",35,45,98,102,1,1,15000,,,,,,,,,
,"sfx/barley_throw_02.ogg",35,45,98,102,1,1,15000,,,,,,,,,
"Rick_start","sfx/rick_start_vo_01.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_start_vo_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/rick_start_vo_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/rick_start_vo_04.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/rick_start_vo_05.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/rick_start_vo_06.ogg",45,50,98,102,1,1,,,,,,,,,,
"Rick_kill","sfx/rick_kill_vo_01.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_kill_vo_02.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_kill_vo_03.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_kill_vo_04.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_kill_vo_05.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_kill_vo_06.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_kill_vo_07.ogg",40,50,98,102,1,1,15000,,,,,,,,,
"Rick_hurt","sfx/rick_hurt_01.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_hurt_02.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_hurt_03.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_hurt_04.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_hurt_05.ogg",40,50,98,102,1,1,10000,,,,,,,,,
"Rick_ulti","sfx/rick_ulti_01.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_ulti_02.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_ulti_03.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_ulti_04.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_ulti_05.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/rick_ulti_06.ogg",40,50,98,102,1,1,10000,,,,,,,,,
"Rick_lead","sfx/rick_lead_01.ogg",40,50,98,102,1,1,20000,,,,,,,,,
,"sfx/rick_lead_02.ogg",40,50,98,102,1,1,20000,,,,,,,,,
,"sfx/rick_lead_03.ogg",40,50,98,102,1,1,20000,,,,,,,,,
,"sfx/rick_lead_04.ogg",40,50,98,102,1,1,20000,,,,,,,,,
,"sfx/rick_lead_05.ogg",40,50,98,102,1,1,20000,,,,,,,,,
"Rick_die","sfx/rick_die_01.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_die_02.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_die_03.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_die_04.ogg",40,50,98,102,1,1,15000,,,,,,,,,
,"sfx/rick_die_05.ogg",40,50,98,102,1,1,15000,,,,,,,,,
"El_primo_start","sfx/el_primo_start_vo_01.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/el_primo_start_vo_02.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/el_primo_start_vo_03.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/el_primo_start_vo_04.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/el_primo_start_vo_05.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/el_primo_start_vo_06.ogg",45,50,98,102,1,1,,,,,,,,,,
,"sfx/el_primo_start_vo_07.ogg",45,50,98,102,1,1,,,,,,,,,,
"El_primo_kill","sfx/el_primo_kill_01.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/el_primo_kill_02.ogg",45,50,98,102,1,1,15000,,,,,,,,,
,"sfx/el_primo_kill_03.ogg",45,50,98,102,1,1,15000,,,,,,,,,
"El_primo_hurt","sfx/el_primo_hurt_01.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/el_primo_hurt_02.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/el_primo_hurt_03.ogg",45,50,98,102,1,1,10000,,,,,,,,,
,"sfx/el_primo_hurt_04.ogg",45,50,98,102,1,1,10000,,,,,,,,,
"El_primo_lead","sfx/el_primo_lead_01.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/el_primo_lead_02.ogg",45,50,98,102,1,1,20000,,,,,,,,,
,"sfx/el_primo_lead_03.ogg",45,50,98,102,1,1,20000,,,,,,,,,
"El_primo_die","sfx/el_primo_death_01.ogg",50,60,98,102,1,1,15000,,,,,,,,,
,"sfx/el_primo_death_02.ogg",50,60,98,102,1,1,15000,,,,,,,,,
,"sfx/el_primo_death_03.ogg",50,60,98,102,1,1,15000,,,,,,,,,
,"sfx/el_primo_death_04.ogg",50,60,98,102,1,1,15000,,,,,,,,,
"El_primo_ulti","sfx/el_primo_ulti_01.ogg",50,55,98,102,1,1,,,,,,,,,,
"El_primo_ulti_land","sfx/el_primo_ulti_02.ogg",50,55,98,102,1,1,,,,,,,,,,
"El_primo_atk","sfx/el_primo_atk_01.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/el_primo_atk_02.ogg",40,50,98,102,1,1,10000,,,,,,,,,
,"sfx/el_primo_atk_03.ogg",40,50,98,102,1,1,10000,,,,,,,,,
